FileName,Class
plastic\plastic139.jpg,5
plastic\plastic140.jpg,6
plastic\plastic141.jpg,6
plastic\plastic142.jpg,6
plastic\plastic143.jpg,6
plastic\plastic144.jpg,6
plastic\plastic145.jpg,6
plastic\plastic146.jpg,6
plastic\plastic147.jpg,6
plastic\plastic148.jpg,6
plastic\plastic149.jpg,4
plastic\plastic150.jpg,6
shoes\shoes121.jpg,7
shoes\shoes122.jpg,7
shoes\shoes123.jpg,7
shoes\shoes124.jpg,7
shoes\shoes125.jpg,7
shoes\shoes126.jpg,7
shoes\shoes127.jpg,7
shoes\shoes128.jpg,7
shoes\shoes129.jpg,7
shoes\shoes130.jpg,7
shoes\shoes131.jpg,3
shoes\shoes132.jpg,7
shoes\shoes133.jpg,7
shoes\shoes134.jpg,7
shoes\shoes135.jpg,7
shoes\shoes136.jpg,7
shoes\shoes137.jpg,7
shoes\shoes138.jpg,7
shoes\shoes139.jpg,7
shoes\shoes140.jpg,7
shoes\shoes141.jpg,7
shoes\shoes142.jpg,7
shoes\shoes143.jpg,7
shoes\shoes144.jpg,7
shoes\shoes145.jpg,3
shoes\shoes146.jpg,7
shoes\shoes147.jpg,7
shoes\shoes148.jpg,7
shoes\shoes149.jpg,7
shoes\shoes150.jpg,7
